UserId,ContinentId,RegionId,CountryId,CityId
14,5,20,155,220
16,3,14,101,3098
20,4,15,109,4303
23,1,4,22,154
25,3,14,101,3098
26,5,21,163,4485
27,5,17,130,6107
28,2,9,54,2193
29,3,14,101,3013
32,3,14,101,3013
33,5,21,162,7639
34,1,4,22,167
37,5,21,158,721
39,4,15,109,4940
42,3,14,106,3551
48,4,15,109,4940
51,4,15,109,4940
52,4,15,109,535
54,5,21,163,8687
56,2,8,48,302
57,5,21,163,9111
59,5,20,150,692
60,1,3,14,52
61,4,15,109,535
65,2,8,51,800
67,2,9,54,2208
70,5,21,163,8652
72,4,15,109,4070
79,3,14,103,3354
83,2,8,48,573
85,4,16,115,5666
90,3,12,85,2558
92,5,21,163,426
94,4,15,109,3755
97,2,8,51,859
98,3,14,106,3551
102,4,15,109,3915
103,1,4,22,106
112,3,13,93,2819
113,5,17,125,6000
116,3,14,101,3098
117,5,19,142,6512
118,4,15,109,3915
119,3,11,69,2282
122,4,15,109,1434
125,4,15,109,4303
129,2,8,51,950
131,4,15,109,3881
133,4,15,109,4940
137,3,14,101,3098
139,3,14,101,3208
142,4,15,109,4616
147,5,19,145,1963
149,4,15,109,4616
152,4,15,109,3945
153,4,15,109,1434
154,4,15,109,4940
155,3,11,74,2468
156,2,8,48,465
157,3,14,101,3098
158,4,15,109,1434
160,2,8,51,1935
162,4,15,109,3750
166,4,15,109,3945
170,2,8,48,515
176,4,15,109,535
177,4,16,115,5639
180,5,21,163,9009
182,2,8,51,1195
183,5,21,160,7618
184,4,15,109,4994
185,5,21,163,426
187,2,8,51,1847
189,4,15,109,1434
190,2,8,50,611
191,5,21,163,9036
192,5,21,163,8652
194,2,8,51,1923
196,4,15,109,3973
199,5,21,163,426
200,3,14,108,3667
208,2,8,51,1592
213,4,16,115,5487
218,5,21,163,8450
228,3,13,93,2725
230,4,15,109,5267
231,5,21,163,8258
234,1,4,22,107
239,5,21,163,8686
240,4,15,109,3987
242,4,15,109,4303
247,2,8,48,371
249,5,17,123,5781
255,4,15,109,3687
256,4,15,109,3687
266,4,15,109,3687
267,4,15,109,4940
268,4,15,109,4964
269,3,14,101,3061
271,5,20,157,7052
272,5,20,157,7169
274,2,8,48,491
276,5,21,159,7470
277,5,21,163,781
279,4,15,109,1434
286,5,21,158,7199
288,4,15,109,535
296,4,15,109,1434
302,3,14,106,3551
303,3,14,106,3551
315,5,21,163,8916
316,2,8,51,1552
317,5,21,163,426
319,4,16,115,5506
320,4,15,109,3945
327,5,17,135,583
328,2,8,51,1752
336,4,15,109,1434
337,3,14,101,3230
339,1,4,22,106
340,4,15,109,535
341,3,14,101,3013
346,5,21,163,8317
348,4,15,109,4940
349,5,17,130,6098
351,4,15,109,3687
356,5,21,163,1633
359,4,15,109,5046
361,2,8,51,2081
365,5,21,162,3728
369,4,15,109,3687
378,4,15,109,535
382,3,13,93,2905
386,4,15,109,1434
388,1,4,22,110
390,3,12,88,2606
393,5,17,122,5729
396,2,8,51,682
397,4,15,109,3915
399,5,17,130,6117
404,5,17,125,5954
408,5,17,127,6062
410,3,14,101,3013
418,3,14,101,3098
419,5,21,163,4736
421,5,21,163,1396
422,2,8,51,1358
425,3,14,106,3551
426,4,15,109,3702
430,3,13,93,2708
432,5,21,159,7494
433,4,15,109,4262
435,5,21,163,8317
442,3,14,106,3551
444,5,21,163,8757
445,5,21,163,8221
446,4,15,109,5100
447,4,15,109,4940
455,5,21,163,426
456,4,15,109,4819
459,4,16,115,5506
462,4,15,109,1434
464,3,12,86,2563
470,3,12,88,2590
476,3,12,89,2623
478,5,19,144,6621
480,2,8,51,2097
484,5,21,163,8367
485,4,15,109,4442
488,5,20,150,6759
490,3,14,101,3098
494,4,15,109,5042
501,4,15,109,4940
503,4,16,115,5506
511,2,8,51,929
512,4,15,109,3915
515,3,14,103,3367
516,4,15,109,3687
517,3,14,101,3098
518,3,13,91,2649
521,4,15,109,3687
525,4,15,109,535
527,4,16,115,390
528,4,15,109,3687
542,5,17,125,5911
545,4,16,115,5487
550,5,19,144,6609
554,5,19,142,6520
565,3,13,93,2770
568,1,4,22,136
571,4,15,109,535
572,2,8,51,882
574,3,14,106,3551
577,3,14,107,3577
